id2	image1	image2	RT	KEY_RESPONSE_TIME	DISPLAY_TIME	KEY_PRESSED	block_level_1_fc	N_BLOCK
21	door002.jpg	door001.jpg	1944	316743.94	314799.75	f	1	0
29	door005.jpg	door003.jpg	2634	320500.68	317866.15	f	1	0
13	door003.jpg	door004.jpg	6732	328332.07	321599.15	f	1	0
16	door001.jpg	door000.jpg	2741	332173.45	329431.81	f	1	0
6	door001.jpg	door002.jpg	1574	334773.00	333198.15	f	1	0
11	door002.jpg	door004.jpg	3228	339026.30	335797.93	j	1	0
22	door003.jpg	door001.jpg	4288	344336.29	340047.55	f	1	0
14	door003.jpg	door005.jpg	1168	346531.82	345363.75	f	1	0
10	door002.jpg	door003.jpg	4371	351935.37	347563.57	j	1	0
27	door005.jpg	door002.jpg	2226	355189.37	352963.09	f	1	0
15	door004.jpg	door005.jpg	1030	357243.01	356212.79	f	1	0
18	door003.jpg	door000.jpg	1387	359649.64	358262.62	f	1	0
12	door002.jpg	door005.jpg	1107	361786.47	360679.08	j	1	0
9	door001.jpg	door005.jpg	947	363760.14	362812.22	j	1	0
2	door000.jpg	door002.jpg	3343	368138.61	364795.39	j	1	0
30	door005.jpg	door004.jpg	895	370057.66	369161.68	j	1	0
1	door000.jpg	door001.jpg	1340	372418.56	371078.16	j	1	0
24	door005.jpg	door001.jpg	815	374260.12	373444.62	f	1	0
26	door004.jpg	door002.jpg	1044	376338.75	375294.47	f	1	0
8	door001.jpg	door004.jpg	572	377933.78	377360.96	j	1	0
28	door004.jpg	door003.jpg	998	379959.62	378960.81	f	1	0
4	door000.jpg	door004.jpg	600	381594.52	380993.97	j	1	0
25	door003.jpg	door002.jpg	3139	385767.03	382627.16	j	1	0
23	door004.jpg	door001.jpg	978	387771.53	386793.48	f	1	0
7	door001.jpg	door003.jpg	2418	391211.67	388793.28	j	1	0
5	door000.jpg	door005.jpg	1266	393509.98	392242.99	j	1	0
3	door000.jpg	door003.jpg	1157	395699.94	394542.78	j	1	0
