DISPLAY_TIME	KEY_RESPONSE_TIME	RT	DOOR	block_level_1	N_BLOCK
114050.61	119303.67	5253	door003.jpg	1	0
124683.01	126222.58	1539	door003.jpg	1	0
131665.73	131963.29	297	door001.jpg	1	0
132965.61	133740.60	774	door001.jpg	1	0
134782.11	135797.33	1015	door005.jpg	1	0
141148.23	142777.16	1628	door005.jpg	1	0
148114.30	149108.32	994	door001.jpg	1	0
150147.44	150670.53	523	door004.jpg	1	0
151614.00	152739.39	1125	door001.jpg	1	0
153713.81	154275.98	562	door004.jpg	1	0
155230.35	155615.83	385	door004.jpg	1	0
156563.56	157196.11	632	door004.jpg	1	0
158130.08	158998.41	868	door005.jpg	1	0
164329.55	164957.15	627	door003.jpg	1	0
170329.02	170978.37	649	door005.jpg	1	0
177511.72	178080.33	568	door001.jpg	1	0
182644.61	186739.58	4094	door005.jpg	1	0
192710.41	195390.29	2679	door003.jpg	1	0
200743.05	201373.92	630	door004.jpg	1	0
202309.57	203361.78	1052	door003.jpg	1	0
415440.96	419498.66	4057	door010.jpg	2	1
420490.51	423807.54	3317	door009.jpg	2	1
429156.44	430095.19	938	door007.jpg	2	1
431039.60	431907.22	867	door010.jpg	2	1
432872.77	433682.73	809	door011.jpg	2	1
439038.90	439481.04	442	door011.jpg	2	1
444838.39	445479.25	640	door007.jpg	2	1
446421.59	446969.49	547	door009.jpg	2	1
452304.42	452867.07	562	door007.jpg	2	1
453804.28	454396.61	592	door011.jpg	2	1
459753.76	460740.91	987	door010.jpg	2	1
461703.60	465499.15	3795	door011.jpg	2	1
470852.80	472206.32	1353	door009.jpg	2	1
477535.54	478285.77	750	door007.jpg	2	1
479235.39	479801.89	566	door007.jpg	2	1
480735.27	481911.49	1176	door010.jpg	2	1
482868.42	484032.44	1164	door010.jpg	2	1
484984.89	485860.13	875	door011.jpg	2	1
491217.69	492011.82	794	door009.jpg	2	1
497350.49	498041.88	691	door009.jpg	2	1
696233.12	699407.13	3174	door015.jpg	3	2
704765.71	705410.41	644	door016.jpg	3	2
706382.23	706992.43	610	door017.jpg	3	2
712348.38	712474.55	126	door017.jpg	3	2
717847.90	718811.10	963	door013.jpg	3	2
719747.75	720348.20	600	door015.jpg	3	2
725680.56	726214.14	533	door016.jpg	3	2
727163.78	727785.96	622	door015.jpg	3	2
733113.25	734632.97	1519	door016.jpg	3	2
735596.36	736573.19	976	door013.jpg	3	2
737512.87	738205.09	692	door017.jpg	3	2
743562.33	744089.50	527	door016.jpg	3	2
745045.54	745675.24	629	door015.jpg	3	2
751011.68	751570.21	558	door013.jpg	3	2
752511.55	753163.02	651	door013.jpg	3	2
754111.42	754751.09	639	door016.jpg	3	2
755711.27	756458.87	747	door017.jpg	3	2
761810.75	762270.14	459	door013.jpg	3	2
763210.62	763631.10	420	door017.jpg	3	2
768976.77	769003.79	27	door015.jpg	3	2
914797.39	916116.85	1319	door019.jpg	4	3
917080.52	917488.70	408	door019.jpg	4	3
918447.06	919366.26	919	door020.jpg	4	3
924729.85	925510.89	781	door021.jpg	4	3
930845.99	931245.17	399	door021.jpg	4	3
936578.83	937183.46	604	door020.jpg	4	3
942528.30	943071.69	543	door021.jpg	4	3
948411.12	949953.07	1541	door020.jpg	4	3
955327.18	956015.64	688	door018.jpg	4	3
956977.04	957582.22	605	door021.jpg	4	3
962909.85	963743.46	833	door019.jpg	4	3
964693.03	965236.44	543	door019.jpg	4	3
966176.24	966996.48	820	door018.jpg	4	3
967959.42	968444.89	485	door018.jpg	4	3
969409.30	970680.69	1271	door021.jpg	4	3
976008.71	976660.68	651	door018.jpg	4	3
977625.23	978356.68	731	door019.jpg	4	3
979291.76	979756.47	464	door018.jpg	4	3
980708.30	981342.91	634	door020.jpg	4	3
986691.11	987133.09	441	door020.jpg	4	3
1111730.19	1112859.10	1128	door026.jpg	5	4
