DISPLAY_TIME	KEY_RESPONSE_TIME	RT	DOOR	block_level_1	N_BLOCK
133941.93	143123.18	9181	door001.jpg	1	0
144074.42	148486.14	4411	door001.jpg	1	0
149457.32	151362.08	1904	door005.jpg	1	0
156690.05	157544.73	854	door005.jpg	1	0
162906.20	165580.61	2674	door003.jpg	1	0
170988.85	172887.38	1898	door004.jpg	1	0
173821.97	177169.53	3347	door001.jpg	1	0
178154.93	178738.58	583	door003.jpg	1	0
184104.44	188084.93	3980	door004.jpg	1	0
189037.36	191962.47	2925	door004.jpg	1	0
192903.71	197645.62	4741	door001.jpg	1	0
198636.55	202143.01	3506	door004.jpg	1	0
203086.20	204646.93	1560	door003.jpg	1	0
210002.28	210565.79	563	door005.jpg	1	0
215901.80	215914.34	12	door005.jpg	1	0
221251.35	222013.57	762	door003.jpg	1	0
227367.51	227818.92	451	door005.jpg	1	0
233150.36	233648.91	498	door004.jpg	1	0
234583.58	235029.27	445	door003.jpg	1	0
240383.09	241031.80	648	door001.jpg	1	0
495745.21	503967.10	8221	door007.jpg	2	1
504944.44	507164.04	2219	door010.jpg	2	1
508127.51	509572.62	1445	door007.jpg	2	1
510510.66	511076.06	565	door010.jpg	2	1
512043.85	513212.16	1168	door009.jpg	2	1
518559.98	518947.72	387	door011.jpg	2	1
524292.84	525360.06	1067	door009.jpg	2	1
530692.31	531262.89	570	door009.jpg	2	1
536591.83	537423.45	831	door010.jpg	2	1
538375.02	538987.59	612	door011.jpg	2	1
544341.18	545014.58	673	door010.jpg	2	1
545974.38	547501.70	1527	door007.jpg	2	1
548440.83	549132.15	691	door010.jpg	2	1
550090.70	550699.40	608	door011.jpg	2	1
556056.88	556761.35	704	door009.jpg	2	1
562089.71	562734.04	644	door011.jpg	2	1
568089.20	568664.03	574	door011.jpg	2	1
574022.06	574677.18	655	door007.jpg	2	1
575621.90	576121.73	499	door009.jpg	2	1
581454.76	582001.30	546	door007.jpg	2	1
732025.58	733343.94	1318	door017.jpg	3	2
738708.38	742072.27	3363	door016.jpg	3	2
743058.00	744310.20	1252	door013.jpg	3	2
745274.48	746306.71	1032	door013.jpg	3	2
747257.66	748273.18	1015	door015.jpg	3	2
753607.13	754209.39	602	door015.jpg	3	2
759539.97	760464.19	924	door016.jpg	3	2
761456.49	763663.84	2207	door017.jpg	3	2
769022.52	772372.96	3350	door017.jpg	3	2
777721.78	778293.11	571	door016.jpg	3	2
779255.01	780129.43	874	door015.jpg	3	2
785471.16	785495.71	24	door013.jpg	3	2
786437.73	786650.62	212	door017.jpg	3	2
792003.95	792421.32	417	door013.jpg	3	2
793370.49	793720.81	350	door015.jpg	3	2
799053.36	799396.02	342	door015.jpg	3	2
804736.22	805236.78	500	door017.jpg	3	2
810585.73	811320.25	734	door013.jpg	3	2
812268.92	812979.92	710	door016.jpg	3	2
