id2	image1	image2	RT	KEY_RESPONSE_TIME	DISPLAY_TIME	KEY_PRESSED	block_level_1_fc	N_BLOCK
18	door003.jpg	door000.jpg	1932	332212.16	330279.35	f	1	0
17	door002.jpg	door000.jpg	2104	335367.11	333262.42	f	1	0
6	door001.jpg	door002.jpg	2836	339248.38	336412.15	j	1	0
28	door004.jpg	door003.jpg	2319	342614.36	340295.14	f	1	0
30	door005.jpg	door004.jpg	1816	345511.83	343694.85	f	1	0
2	door000.jpg	door002.jpg	3453	350064.67	346611.26	j	1	0
1	door000.jpg	door001.jpg	2756	353850.90	351094.21	f	1	0
12	door002.jpg	door005.jpg	2305	357182.73	354877.20	j	1	0
11	door002.jpg	door004.jpg	5029	363239.26	358210.25	f	1	0
4	door000.jpg	door004.jpg	5285	369545.53	364259.71	j	1	0
23	door004.jpg	door001.jpg	1735	372311.48	370575.84	f	1	0
7	door001.jpg	door003.jpg	1332	374674.97	373342.26	j	1	0
20	door005.jpg	door000.jpg	2619	378327.96	375708.72	f	1	0
26	door004.jpg	door002.jpg	3472	382831.30	379358.39	f	1	0
27	door005.jpg	door002.jpg	1391	385249.09	383858.00	f	1	0
25	door003.jpg	door002.jpg	3069	389343.89	386274.46	f	1	0
19	door004.jpg	door000.jpg	2724	393098.29	390374.10	f	1	0
8	door001.jpg	door004.jpg	1059	395182.92	394123.78	j	1	0
15	door004.jpg	door005.jpg	1392	397598.99	396206.93	j	1	0
5	door000.jpg	door005.jpg	1757	400381.04	398623.40	j	1	0
21	door002.jpg	door001.jpg	2695	404102.38	401406.49	f	1	0
22	door003.jpg	door001.jpg	3887	409026.64	405139.49	f	1	0
13	door003.jpg	door004.jpg	5138	415194.54	410055.74	f	1	0
16	door001.jpg	door000.jpg	2056	418277.96	416221.85	j	1	0
9	door001.jpg	door005.jpg	942	420247.73	419304.93	j	1	0
3	door000.jpg	door003.jpg	1625	422897.20	421271.42	j	1	0
14	door003.jpg	door005.jpg	1503	425424.34	423921.19	j	1	0
24	door005.jpg	door001.jpg	907	427361.44	426454.29	f	1	0
29	door005.jpg	door003.jpg	952	429340.29	428387.45	f	1	0
