id2	image1	image2	RT	KEY_RESPONSE_TIME	DISPLAY_TIME	KEY_PRESSED	block_level_1_fc	N_BLOCK
3	door000.jpg	door003.jpg	1169	207376.24	206206.42	f	1	0
12	door002.jpg	door005.jpg	2943	211383.51	208439.58	f	1	0
18	door003.jpg	door000.jpg	1367	213790.30	212422.60	j	1	0
22	door003.jpg	door001.jpg	3457	218296.92	214839.06	j	1	0
27	door005.jpg	door002.jpg	1930	221252.51	219322.02	j	1	0
20	door005.jpg	door000.jpg	1229	223518.29	222288.44	j	1	0
23	door004.jpg	door001.jpg	2305	226860.44	224554.91	f	1	0
1	door000.jpg	door001.jpg	1616	229504.74	227887.98	f	1	0
13	door003.jpg	door004.jpg	3450	233988.47	230537.75	f	1	0
5	door000.jpg	door005.jpg	951	235971.86	235020.71	f	1	0
11	door002.jpg	door004.jpg	2474	239478.81	237003.89	f	1	0
6	door001.jpg	door002.jpg	1808	242311.72	240503.59	j	1	0
8	door001.jpg	door004.jpg	1261	244598.23	243336.68	j	1	0
2	door000.jpg	door002.jpg	1453	247073.48	245619.83	f	1	0
26	door004.jpg	door002.jpg	2530	250633.70	248102.97	j	1	0
29	door005.jpg	door003.jpg	1481	253150.40	251669.32	f	1	0
25	door003.jpg	door002.jpg	1774	255960.42	254185.80	j	1	0
7	door001.jpg	door003.jpg	2872	259857.59	256985.56	f	1	0
21	door002.jpg	door001.jpg	1665	262550.25	260885.24	f	1	0
24	door005.jpg	door001.jpg	2044	265629.35	263585.01	f	1	0
30	door005.jpg	door004.jpg	2277	268928.78	266651.42	f	1	0
4	door000.jpg	door004.jpg	1151	271102.39	269951.14	f	1	0
16	door001.jpg	door000.jpg	1183	273318.10	272134.30	j	1	0
14	door003.jpg	door005.jpg	2113	276464.37	274350.78	j	1	0
28	door004.jpg	door003.jpg	1658	279142.74	277483.86	f	1	0
10	door002.jpg	door003.jpg	1516	281683.67	280166.97	f	1	0
17	door002.jpg	door000.jpg	1161	283878.46	282716.75	j	1	0
9	door001.jpg	door005.jpg	1710	286610.03	284899.91	j	1	0
19	door004.jpg	door000.jpg	1393	289026.96	287633.01	j	1	0
15	door004.jpg	door005.jpg	2900	292950.42	290049.47	j	1	0
42	door008.jpg	door011.jpg	1997	474664.67	472667.64	f	2	1
53	door010.jpg	door007.jpg	1429	477163.80	475734.05	f	2	1
32	door006.jpg	door008.jpg	1684	479884.53	478200.51	f	2	1
58	door010.jpg	door009.jpg	1428	482362.61	480933.62	f	2	1
43	door009.jpg	door010.jpg	1214	484597.99	483383.41	j	2	1
46	door007.jpg	door006.jpg	1237	486870.98	485633.23	j	2	1
60	door011.jpg	door010.jpg	1710	489610.29	487899.72	j	2	1
57	door011.jpg	door008.jpg	1607	492240.75	490632.82	j	2	1
50	door011.jpg	door006.jpg	1427	494693.47	493265.93	j	2	1
51	door008.jpg	door007.jpg	1157	496873.35	495715.72	f	2	1
37	door007.jpg	door009.jpg	2633	500531.88	497898.88	j	2	1
54	door011.jpg	door007.jpg	2338	503903.77	501565.25	j	2	1
39	door007.jpg	door011.jpg	976	505908.21	504931.62	j	2	1
40	door008.jpg	door009.jpg	1550	508482.23	506931.46	f	2	1
41	door008.jpg	door010.jpg	1375	510890.39	509514.57	j	2	1
45	door010.jpg	door011.jpg	1604	513519.18	511914.39	f	2	1
31	door006.jpg	door007.jpg	1417	515965.30	514547.49	f	2	1
34	door006.jpg	door010.jpg	1926	518923.40	516997.30	j	2	1
59	door011.jpg	door009.jpg	1383	521330.52	519947.05	f	2	1
38	door007.jpg	door010.jpg	1631	523994.82	522363.50	j	2	1
55	door009.jpg	door008.jpg	1748	526778.73	525029.97	j	2	1
33	door006.jpg	door009.jpg	1139	528952.99	527813.06	f	2	1
35	door006.jpg	door011.jpg	1139	531119.37	529979.56	f	2	1
44	door009.jpg	door011.jpg	2049	534195.11	532146.04	j	2	1
47	door008.jpg	door006.jpg	1152	536381.48	535229.11	j	2	1
49	door010.jpg	door006.jpg	1257	538670.00	537412.26	j	2	1
56	door010.jpg	door008.jpg	1694	541389.83	539695.41	f	2	1
52	door009.jpg	door007.jpg	1927	544339.25	542411.85	j	2	1
48	door009.jpg	door006.jpg	852	546213.96	545361.60	j	2	1
36	door007.jpg	door008.jpg	1034	548279.14	547244.77	j	2	1
63	door012.jpg	door015.jpg	2370	684953.94	682583.54	f	3	2
74	door015.jpg	door017.jpg	1569	687569.38	685999.92	j	3	2
82	door015.jpg	door013.jpg	2067	690683.76	688616.37	j	3	2
80	door017.jpg	door012.jpg	1219	692935.47	691716.11	j	3	2
62	door012.jpg	door014.jpg	787	694770.19	693982.59	f	3	2
89	door017.jpg	door015.jpg	1251	697050.25	695799.11	f	3	2
77	door014.jpg	door012.jpg	934	699017.01	698082.25	j	3	2
66	door013.jpg	door014.jpg	1810	701859.30	700048.75	j	3	2
81	door014.jpg	door013.jpg	904	703786.66	702881.85	f	3	2
