DISPLAY_TIME	KEY_RESPONSE_TIME	RT	DOOR	block_level_1	N_BLOCK
97305.73	100978.62	3672	door001.jpg	1	0
101988.64	111566.70	9578	door003.jpg	1	0
116920.68	118950.87	2030	door003.jpg	1	0
124320.02	133210.16	8890	door002.jpg	1	0
138535.46	148637.22	10101	door002.jpg	1	0
153967.45	155052.18	1084	door001.jpg	1	0
156017.28	157934.19	1916	door002.jpg	1	0
163266.63	164344.83	1078	door000.jpg	1	0
165283.14	168732.35	3449	door003.jpg	1	0
174082.36	174707.79	625	door000.jpg	1	0
175648.90	176531.38	882	door003.jpg	1	0
181881.69	183088.96	1207	door003.jpg	1	0
188431.11	189673.10	1241	door000.jpg	1	0
190614.26	192494.93	1880	door000.jpg	1	0
193430.68	194637.21	1206	door002.jpg	1	0
199963.44	201099.50	1136	door000.jpg	1	0
202046.60	202663.60	616	door002.jpg	1	0
207996.08	209080.46	1084	door001.jpg	1	0
210045.89	210747.60	701	door001.jpg	1	0
211712.42	212347.17	634	door001.jpg	1	0
449608.32	459857.66	10249	door009.jpg	2	1
465190.30	473563.65	8373	door009.jpg	2	1
478905.74	480274.50	1368	door008.jpg	2	1
485621.85	486590.90	969	door008.jpg	2	1
491954.61	492703.77	749	door007.jpg	2	1
493654.46	494095.74	441	door006.jpg	2	1
495054.36	495590.92	536	door006.jpg	2	1
496554.24	498649.88	2095	door006.jpg	2	1
499603.95	500303.00	699	door008.jpg	2	1
505653.43	506306.60	653	door006.jpg	2	1
507269.96	507715.16	445	door007.jpg	2	1
508653.16	509092.67	439	door006.jpg	2	1
510053.04	510726.82	673	door009.jpg	2	1
516069.19	516616.36	547	door007.jpg	2	1
517552.40	518046.06	493	door007.jpg	2	1
518985.61	519597.58	611	door008.jpg	2	1
524951.75	525700.84	749	door008.jpg	2	1
531051.22	531816.67	765	door009.jpg	2	1
537150.68	537805.03	654	door007.jpg	2	1
538750.54	541145.81	2395	door009.jpg	2	1
706769.20	708053.59	1284	door015.jpg	3	2
713401.97	713973.15	571	door015.jpg	3	2
719318.09	720580.25	1262	door012.jpg	3	2
721534.59	723019.69	1485	door015.jpg	3	2
728350.65	729153.16	802	door012.jpg	3	2
730117.17	730649.61	532	door012.jpg	3	2
731617.04	733109.41	1492	door014.jpg	3	2
738483.10	739472.97	989	door013.jpg	3	2
740416.28	741392.52	976	door012.jpg	3	2
742349.45	744077.34	1727	door014.jpg	3	2
749432.15	750628.26	1196	door014.jpg	3	2
755981.58	758909.80	2928	door013.jpg	3	2
759847.91	760428.25	580	door014.jpg	3	2
765780.73	766388.42	607	door013.jpg	3	2
767330.60	767915.19	584	door015.jpg	3	2
773246.75	773681.46	434	door013.jpg	3	2
774629.97	775130.48	500	door012.jpg	3	2
776096.49	776668.51	572	door014.jpg	3	2
782012.65	782828.72	816	door013.jpg	3	2
783762.50	784342.83	580	door015.jpg	3	2
951397.87	959753.85	8355	door019.jpg	4	3
960730.37	966880.89	6150	door023.jpg	4	3
972246.05	972886.67	640	door021.jpg	4	3
978228.86	979202.49	973	door021.jpg	4	3
984544.98	985311.94	766	door023.jpg	4	3
990661.11	991302.21	641	door023.jpg	4	3
996677.23	997446.26	769	door022.jpg	4	3
998410.43	1000087.96	1677	door022.jpg	4	3
1001043.53	1003590.29	2546	door022.jpg	4	3
1004543.23	1006072.08	1528	door022.jpg	4	3
1007026.34	1008018.50	992	door021.jpg	4	3
1013359.13	1014984.03	1624	door022.jpg	4	3
1015942.23	1017528.05	1585	door019.jpg	4	3
1018475.35	1019398.97	923	door021.jpg	4	3
1024741.48	1025360.37	618	door021.jpg	4	3
1030690.94	1031595.67	904	door023.jpg	4	3
1036940.41	1038221.02	1280	door019.jpg	4	3
1039156.87	1039668.91	512	door019.jpg	4	3
1040606.75	1041137.59	530	door019.jpg	4	3
1042073.29	1042745.43	672	door023.jpg	4	3
1194343.31	1195574.39	1231	door025.jpg	5	4
1196559.78	1198174.00	1614	door027.jpg	5	4
1203525.85	1204630.13	1104	door027.jpg	5	4
1209991.95	1211620.79	1628	door028.jpg	5	4
1212591.72	1213203.99	612	door029.jpg	5	4
1218541.22	1219558.89	1017	door027.jpg	5	4
1224907.32	1225981.72	1074	door028.jpg	5	4
1226923.83	1229235.38	2311	door025.jpg	5	4
1230190.21	1231013.65	823	door027.jpg	5	4
1236356.33	1237010.03	653	door029.jpg	5	4
1242339.13	1243310.02	970	door025.jpg	5	4
1244272.31	1245405.59	1133	door028.jpg	5	4
1246338.79	1248335.27	1996	door025.jpg	5	4
1249288.53	1249866.57	578	door028.jpg	5	4
1250805.07	1251406.07	601	door029.jpg	5	4
1256737.89	1257351.78	613	door029.jpg	5	4
1262687.36	1263389.02	701	door029.jpg	5	4
1268720.17	1271851.70	3131	door027.jpg	5	4
1277202.76	1278539.12	1336	door025.jpg	5	4
1279502.56	1280348.90	846	door028.jpg	5	4
1490384.17	1491393.84	1009	door034.jpg	6	5
1492367.32	1492995.53	628	door035.jpg	6	5
1498350.12	1499031.74	681	door033.jpg	6	5
1504399.59	1505214.33	814	door031.jpg	6	5
1506166.11	1507109.73	943	door033.jpg	6	5
